"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_name","Input.image_url","Answer.NumberOfItems","Approve","Reject"
"3RIHDBQ1NEYAQCH4LSUYOJMR8NHHMX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3VFJCI1K4ZZQAGXFWWDZD2ZH9VRGRS","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:34:41 PST 2016","Thu Feb 11 17:34:43 PST 2016","Fri Feb 12 01:34:43 PST 2016","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-4.png","MOUTH"
"31N9JPQXIPIG8U24XT9Y1YBRDDRHNX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3B2X28YI3WF1XGRKOMIN1WHOXVL6B3","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:30:01 PST 2016","Thu Feb 11 17:30:08 PST 2016","Fri Feb 12 01:30:08 PST 2016","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-5.png","bbb"
"31N9JPQXIPIG8U24XT9Y1YBRDDRHNX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3LOTDFNYA7ZP4CI6K6HNIG7M0V5WFB","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:26:46 PST 2016","Thu Feb 11 17:27:05 PST 2016","Fri Feb 12 01:27:05 PST 2016","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-5.png","FACE"
"31N9JPQXIPIG8U24XT9Y1YBRDDRHNX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3ZR9AIQJUB9MY6KW7ISJKH1RA0J40V","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:46:29 PST 2016","Thu Feb 11 18:46:36 PST 2016","Fri Feb 12 02:46:36 PST 2016","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-5.png","FacE"
"36KM3FWE3RCGU94LJELOZ9QKRHK70A","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","36AHBNMV1RCWVXZA814LFDPHZQQYD2","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:45:46 PST 2016","Thu Feb 11 18:45:49 PST 2016","Fri Feb 12 02:45:49 PST 2016","","","","3","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-0.png","D"
"36KM3FWE3RCGU94LJELOZ9QKRHK70A","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3FDJT1UU74867FV0PGLB8TMEOUJ5K6","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:27:05 PST 2016","Thu Feb 11 17:27:10 PST 2016","Fri Feb 12 01:27:10 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-0.png","D"
"36KM3FWE3RCGU94LJELOZ9QKRHK70A","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3RRCEFRB7MCNITN65YP84YXA14FB4N","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:30:41 PST 2016","Thu Feb 11 17:30:46 PST 2016","Fri Feb 12 01:30:46 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-0.png","O"
"309D674SHZLNQD2R8BQOZCEHJW8CBU","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","32N49TQG3GIHTW1TJGQZIDDHW6RAV3","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:29:13 PST 2016","Thu Feb 11 17:29:19 PST 2016","Fri Feb 12 01:29:19 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-1.png","B"
"309D674SHZLNQD2R8BQOZCEHJW8CBU","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3FTOP5WARFOC1O3HAPFNQJQASX8J00","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:32:34 PST 2016","Thu Feb 11 17:32:42 PST 2016","Fri Feb 12 01:32:42 PST 2016","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-1.png","B"
"309D674SHZLNQD2R8BQOZCEHJW8CBU","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3NVC2EB65QZYD5XDFCY924358D23YA","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:46:24 PST 2016","Thu Feb 11 18:46:29 PST 2016","Fri Feb 12 02:46:29 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-1.png","B"
"3LEG2HW4UFN05CM5GKNE6PWGM3NF26","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","34T446B1C0EPTAXB0XY13FDF2DZ0C3","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:28:04 PST 2016","Thu Feb 11 17:28:09 PST 2016","Fri Feb 12 01:28:09 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-2.png","A"
"3LEG2HW4UFN05CM5GKNE6PWGM3NF26","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","37TRT2X24QRDLB6R85CCA0MTJ15JBM","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:34:12 PST 2016","Thu Feb 11 17:34:16 PST 2016","Fri Feb 12 01:34:16 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-2.png","a"
"3LEG2HW4UFN05CM5GKNE6PWGM3NF26","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3IO1LGZLK9XIVITDLAYDAURNPP1867","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:45:32 PST 2016","Thu Feb 11 18:45:36 PST 2016","Fri Feb 12 02:45:36 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-2.png","a"
"3WJGKMRWVI9G5A0BM7HUU22HMHKCD1","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","320DUZ38G7M9CSE2OR4QBBDQZEXGJ0","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:33:01 PST 2016","Thu Feb 11 17:33:07 PST 2016","Fri Feb 12 01:33:07 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-3.png","C"
"3WJGKMRWVI9G5A0BM7HUU22HMHKCD1","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3I3WADAZ9Q4PX6GFN8D4FA3N8ZT5OQ","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:27:34 PST 2016","Thu Feb 11 17:27:41 PST 2016","Fri Feb 12 01:27:41 PST 2016","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-3.png","C"
"3WJGKMRWVI9G5A0BM7HUU22HMHKCD1","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3MX2NQ3YC9UCRFU7OZ00YNUGK3Z5XW","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:45:01 PST 2016","Thu Feb 11 18:45:05 PST 2016","Fri Feb 12 02:45:05 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","1.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/1.png-3.png","C"
"3INZSNUD80QE7CT8AN73SC19GWH9DH","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3M1CVSFP605POO5CXHWPCQE9FECAQ9","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:28:43 PST 2016","Thu Feb 11 17:28:47 PST 2016","Fri Feb 12 01:28:47 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-0.png","Citrullus colocynthis"
"3INZSNUD80QE7CT8AN73SC19GWH9DH","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3RSDURM96AM1N3DA4WF5LV72Z2RYEV","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:47:01 PST 2016","Thu Feb 11 18:47:10 PST 2016","Fri Feb 12 02:47:10 PST 2016","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-0.png","Citrullus colocynthis"
"3INZSNUD80QE7CT8AN73SC19GWH9DH","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3XXU1SWE8MV10V0DGJ2AXKNR2AE0A1","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:27:03 PST 2016","Thu Feb 11 17:27:26 PST 2016","Fri Feb 12 01:27:26 PST 2016","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-0.png","Citrullus colocynthis"
"335VBRURDJ0JZI786IINYUJUG8I9EA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3B1NLC6UGZW5Y3H0J49A87Z28D3GP0","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:33:48 PST 2016","Thu Feb 11 17:34:05 PST 2016","Fri Feb 12 01:34:05 PST 2016","","","","17","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-1.png","Zyogphyllum sp."
"335VBRURDJ0JZI786IINYUJUG8I9EA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3FFJ6VRIL1OG6DJBS7UNEIBAFIJ0I5","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:28:17 PST 2016","Thu Feb 11 17:28:22 PST 2016","Fri Feb 12 01:28:22 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-1.png","Zygophyllum sp."
"335VBRURDJ0JZI786IINYUJUG8I9EA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3TEM0PF1Q5XZY23P0TTCNLVXNDC0D4","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:47:11 PST 2016","Thu Feb 11 18:47:17 PST 2016","Fri Feb 12 02:47:17 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-1.png","Zygophyllum sp."
"3538U0YQ1FUPQUIOKK1JPZ18SHNF3H","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","35DR22AR5DK9D073AGC7JQWW6783X4","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:46:18 PST 2016","Thu Feb 11 18:46:23 PST 2016","Fri Feb 12 02:46:23 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-2.png","Fagonia indica"
"3538U0YQ1FUPQUIOKK1JPZ18SHNF3H","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3EICBYG644WWVGYXM587LKSB1M5JCT","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:34:21 PST 2016","Thu Feb 11 17:34:32 PST 2016","Fri Feb 12 01:34:32 PST 2016","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-2.png","indica Fagonia"
"3538U0YQ1FUPQUIOKK1JPZ18SHNF3H","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:29 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:29 PST 2016","","","3L70J4KAZGMVZF17SVQ5CR7AWZNAD4","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:27:11 PST 2016","Thu Feb 11 17:27:15 PST 2016","Fri Feb 12 01:27:15 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","10.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/10.png-2.png","Fagonia indica"
